크기(라벨링),나이,산책시간(시간),체중,성별
2,13,0.5,27,M
2,10,0.5,25,F
2,9,0.5,40,M
2,8,0.5,28,F
2,8,0.5,33,M
2,8,0.5,35,M
2,7,1.5,21,F
2,7,1.5,25,M
2,7,1.5,30,M
2,7,1.5,35,M
2,6,1.5,22,F
2,6,1.5,30.24,M
2,6,1.5,32,F
2,5,1.5,23,M
2,5,1.5,24.9,F
2,5,1.5,26,F
2,5,1.5,27,M
2,5,1.5,29,F
2,5,1.5,30,M
2,5,1.5,30.5,F
2,5,1.5,31,M
2,5,1.5,31.5,F
2,5,1.5,31.5,F
2,5,1.5,36,F
1,5,1.5,18,F
1,5,1.5,18.21,F
2,4,1.5,20,F
2,4,1.5,28,M
2,4,1.5,30,F
2,4,1.5,32.4,M
2,3,1.5,20,M
2,3,1.5,20,F
2,3,1.5,24,F
2,3,1.5,25,M
2,3,1.5,25,F
2,3,1.5,25,F
2,3,1.5,25,F
2,3,1.5,25,F
2,3,1.5,30,M
2,3,1.5,30,F
2,3,1.5,30,M
2,3,1.5,30,F
2,3,1.5,32,M
2,3,1.5,35,F
2,3,1.5,35.5,M
2,3,1.5,38,M
2,3,1.5,40,M
2,2,1.5,23,F
2,2,1.5,23,F
2,2,1.5,24,F
2,2,1.5,25,F
2,2,1.5,30,M
2,2,1.5,30,F
2,2,1.5,30,M
2,2,1.5,31,M
2,2,1.5,32,F
2,2,1.5,40,F
1,2,1.5,18,M
1,2,1.5,10,F
2,1,1.5,22.1,F
2,1,1.5,23,F
2,1,1.5,24,M
2,1,1.5,33,F
1,1,1.5,16,M
0,1,1.5,6.5,F
0,1,1.5,7.2,M
2,0,0.8,20,F
1,0,0.8,18.3,F
1,4,1.5,13,M
1,3,1.5,17,F
2,1,1.5,20,M
2,2,0.8,40,M
2,4,1,30,F
2,3,1,35,F
2,1,1,25,M
2,2,0.8,30,M
0,11,0.5,7,F
0,10,0.5,8,M
0,9,0.5,4.7,F
0,9,0.5,6.5,F
0,8,0.5,6,M
0,8,0.5,8,F
1,7,1,11,M
0,7,1,4,F
0,7,1,7,F
0,7,1,7,F
0,6,1,4,M
0,6,1,4,F
0,6,1,5,M
0,6,1,7.5,M
0,5,1,5,M
0,5,1,7.5,M
0,5,1,9.2,M
0,5,1,9.7,M
0,5,1,9.7,M
0,4,1,3.6,M
0,4,1,4.5,F
0,4,1,6,F
0,4,1,6.8,F
0,3,1,4,F
0,3,1,4.4,F
0,3,1,4.4,M
0,3,1,4.5,M
0,3,1,4.5,M
0,3,1,5.6,M
0,3,1,7,M
0,3,1,7.9,M
0,3,1,9,M
0,2,1,4,F
0,2,1,5,M
0,2,1,5,M
0,2,1,5,M
0,2,1,6,F
0,2,1,9.3,M
0,1,1,3.5,F
0,1,1,4.5,F
0,1,1,5,F
0,1,1,6.2,F
0,1,1,6.6,F
0,0,0.8,2.8,M
0,0,0.8,2.8,F
0,0,0.8,5.3,F
0,0,0.8,6.5,M
2,3,1,23,M
2,3,1,25,M
2,4,1,20,M
2,3,1,28,M
2,3,1,30,M
1,3,1,15,F
2,2,1,20,F
2,2,1,22,M
2,1,1,20,F
1,1,1,13,M
1,0,0.8,10,F
2,7,1,30,F
2,3,1,60,F
2,2,1,20,F
2,2,1,24,F
2,2,1,25,F
2,2,1,25,F
2,2,1,30,F
2,1,1,20,M
2,1,1,27,F
2,1,1,27,M
2,1,1,27,M
1,1,1,15,M
1,1,1,17,M
1,1,1,19,M
0,1,1,7,M
2,8,0.5,25,Q
2,7,1.5,30,F
2,7,1.5,30,M
2,6,1.5,27,F
2,6,1.5,35,F
2,5,1.5,20,M
2,5,1.5,20,F
2,5,1.5,25,F
2,5,1.5,25,F
2,5,1.5,25,M
2,5,1.5,25,F
2,5,1.5,25,M
2,5,1.5,25,M
2,5,1.5,26,M
2,5,1.5,26.98,M
2,5,1.5,30.01,M
2,5,1.5,31,M
2,5,1.5,35,M
2,5,1.5,37,M
2,4,1.5,23,F
2,4,1.5,25,F
2,4,1.5,30,M
2,4,1.5,32.4,M
2,4,1.5,37.8,F
2,4,1.5,40,M
2,4,1.5,43,F
2,3,1.5,20,F
2,3,1.5,21,F
2,3,1.5,22,F
2,3,1.5,23,M
2,3,1.5,25,F
2,3,1.5,25,M
2,3,1.5,25,M
2,3,1.5,26.5,M
2,3,1.5,27,M
2,3,1.5,27,M
2,3,1.5,28,M
2,3,1.5,28,M
2,3,1.5,30,M
2,3,1.5,30,M
2,3,1.5,30,F
2,3,1.5,30,F
2,3,1.5,30,M
2,3,1.5,32,M
2,3,1.5,32,F
2,3,1.5,33,M
2,3,1.5,40,M
2,3,1.5,40,M
2,3,1.5,43,M
2,2,1.5,20,M
2,2,1.5,20,M
2,2,1.5,20,F
2,2,1.5,23.7,M
2,2,1.5,25,F
2,2,1.5,25,M
2,2,1.5,25,M
2,2,1.5,25,M
2,2,1.5,25,M
2,2,1.5,26,M
2,2,1.5,27,M
2,2,1.5,28,M
2,2,1.5,29,F
2,2,1.5,30,F
2,2,1.5,30,M
