품종,나이,산책시간(시간),체중,성별,중성화여부,색상
골든 리트리버,13,0.5,27,M,N,갈색
골든 리트리버,10,0.5,25,F,N,갈색
골든 리트리버,9,0.5,40,M,N,갈색
골든 리트리버,8,0.5,28,F,N,갈색
골든 리트리버,8,0.5,33,M,N,갈색
골든 리트리버,8,0.5,35,M,N,갈백
골든 리트리버,7,1.5,21,F,N,옅은 갈색
골든 리트리버,7,1.5,25,M,Y,갈색
골든 리트리버,7,1.5,30,M,Y,갈백
골든 리트리버,7,1.5,35,M,Y,갈색
골든 리트리버,6,1.5,22,F,U,베이지
골든 리트리버,6,1.5,30.24,M,N,옅은 갈색
골든 리트리버,6,1.5,32,F,N,갈색
골든 리트리버,5,1.5,23,M,N,갈색
골든 리트리버,5,1.5,24.9,F,N,금색
골든 리트리버,5,1.5,26,F,U,갈
골든 리트리버,5,1.5,27,M,N,갈
골든 리트리버,5,1.5,29,F,N,갈색
골든 리트리버,5,1.5,30,M,N,갈/흰
골든 리트리버,5,1.5,30.5,F,N,살구색
골든 리트리버,5,1.5,31,M,N,갈색
골든 리트리버,5,1.5,31.5,F,N,갈색
골든 리트리버,5,1.5,31.5,F,N,갈색
골든 리트리버,5,1.5,36,F,N,갈색
골든 리트리버,5,1.5,18,F,U,크림색
골든 리트리버,5,1.5,18.21,F,N,옅은 갈색
골든 리트리버,4,1.5,20,F,U,갈색
골든 리트리버,4,1.5,28,M,N,크림색
골든 리트리버,4,1.5,30,F,U,황색
골든 리트리버,4,1.5,32.4,M,N,금색
골든 리트리버,3,1.5,20,M,N,갈
골든 리트리버,3,1.5,20,F,U,갈색
골든 리트리버,3,1.5,24,F,U,갈색
골든 리트리버,3,1.5,25,M,N,크림색
골든 리트리버,3,1.5,25,F,U,갈
골든 리트리버,3,1.5,25,F,U,옅은갈색
골든 리트리버,3,1.5,25,F,N,갈색
골든 리트리버,3,1.5,25,F,U,검
골든 리트리버,3,1.5,30,M,N,황색
골든 리트리버,3,1.5,30,F,U,갈
골든 리트리버,3,1.5,30,M,N,갈색
골든 리트리버,3,1.5,30,F,U,황색
골든 리트리버,3,1.5,32,M,N,흰/갈
골든 리트리버,3,1.5,35,F,N,갈백흑
골든 리트리버,3,1.5,35.5,M,N,금색
골든 리트리버,3,1.5,38,M,U,갈색
골든 리트리버,3,1.5,40,M,Y,갈/흰
골든 리트리버,2,1.5,23,F,U,갈색
골든 리트리버,2,1.5,23,F,U,갈
골든 리트리버,2,1.5,24,F,U,연한 갈색
골든 리트리버,2,1.5,25,F,U,군내면 유교리 2-2 인근
골든 리트리버,2,1.5,30,M,N,갈
골든 리트리버,2,1.5,30,F,N,갈색
골든 리트리버,2,1.5,30,M,N,갈
골든 리트리버,2,1.5,31,M,N,금색
골든 리트리버,2,1.5,32,F,U,갈/흰
골든 리트리버,2,1.5,40,F,N,갈색
골든 리트리버,2,1.5,18,M,N,갈색
골든 리트리버,2,1.5,10,F,U,갈백
골든 리트리버,1,1.5,22.1,F,N,갈색
골든 리트리버,1,1.5,23,F,N,갈색
골든 리트리버,1,1.5,24,M,U,갈색
골든 리트리버,1,1.5,33,F,U,갈/흰
골든 리트리버,1,1.5,16,M,N,갈/흰
골든 리트리버,1,1.5,6.5,F,N,크림색
골든 리트리버,1,1.5,7.2,M,N,갈색
골든 리트리버,0,0.8,20,F,U,갈백
골든 리트리버,0,0.8,18.3,F,U,검정
그레이 하운드,4,1.5,13,M,Y,회색
그레이 하운드,3,1.5,17,F,U,흑갈색
그레이 하운드,1,1.5,20,M,N,검정
그레이트 덴,2,0.8,40,M,N,검정
그레이트피레니즈,4,1,30,F,U,흰
그레이트피레니즈,3,1,35,F,N,흰색
그레이트피레니즈,1,1,25,M,U,흰색
네오폴리탄 마스티프,2,0.8,30,M,N,흑갈백
닥스훈트,11,0.5,7,F,N,검정
닥스훈트,10,0.5,8,M,N,갈흑
닥스훈트,9,0.5,4.7,F,U,검/갈
닥스훈트,9,0.5,6.5,F,N,"검정색, 갈색"
