품종,나이,산책시간(시간),체중,성별,중성화여부,색상,음수량,성별_라벨링,중성화_라벨링,크기,크기_라벨링
골든 리트리버,13,0.5,27.0,M,N,갈색,1755.0,1,0,대,2
골든 리트리버,10,0.5,25.0,F,N,갈색,1625.0,0,0,대,2
골든 리트리버,9,0.5,40.0,M,N,갈색,2600.0,1,0,대,2
골든 리트리버,8,0.5,28.0,F,N,갈색,1820.0,0,0,대,2
골든 리트리버,8,0.5,33.0,M,N,갈색,2145.0,1,0,대,2
골든 리트리버,8,0.5,35.0,M,N,갈백,2275.0,1,0,대,2
골든 리트리버,7,1.5,21.0,F,N,옅은 갈색,1365.0,0,0,대,2
골든 리트리버,7,1.5,25.0,M,Y,갈색,1625.0,1,1,대,2
골든 리트리버,7,1.5,30.0,M,Y,갈백,1950.0,1,1,대,2
골든 리트리버,7,1.5,35.0,M,Y,갈색,2275.0,1,1,대,2
골든 리트리버,6,1.5,30.24,M,N,옅은 갈색,1965.6,1,0,대,2
골든 리트리버,6,1.5,32.0,F,N,갈색,2080.0,0,0,대,2
골든 리트리버,5,1.5,23.0,M,N,갈색,1495.0,1,0,대,2
골든 리트리버,5,1.5,24.9,F,N,금색,1618.5,0,0,대,2
골든 리트리버,5,1.5,27.0,M,N,갈,1755.0,1,0,대,2
골든 리트리버,5,1.5,29.0,F,N,갈색,1885.0,0,0,대,2
골든 리트리버,5,1.5,30.0,M,N,갈/흰,1950.0,1,0,대,2
골든 리트리버,5,1.5,30.5,F,N,살구색,1982.5,0,0,대,2
골든 리트리버,5,1.5,31.0,M,N,갈색,2015.0,1,0,대,2
골든 리트리버,5,1.5,31.5,F,N,갈색,2047.5,0,0,대,2
골든 리트리버,5,1.5,31.5,F,N,갈색,2047.5,0,0,대,2
골든 리트리버,5,1.5,36.0,F,N,갈색,2340.0,0,0,대,2
골든 리트리버,5,1.5,18.21,F,N,옅은 갈색,1183.65,0,0,중,1
골든 리트리버,4,1.5,28.0,M,N,크림색,1820.0,1,0,대,2
골든 리트리버,4,1.5,32.4,M,N,금색,2106.0,1,0,대,2
골든 리트리버,3,1.5,20.0,M,N,갈,1300.0,1,0,대,2
골든 리트리버,3,1.5,25.0,M,N,크림색,1625.0,1,0,대,2
골든 리트리버,3,1.5,25.0,F,N,갈색,1625.0,0,0,대,2
골든 리트리버,3,1.5,30.0,M,N,황색,1950.0,1,0,대,2
골든 리트리버,3,1.5,30.0,M,N,갈색,1950.0,1,0,대,2
골든 리트리버,3,1.5,32.0,M,N,흰/갈,2080.0,1,0,대,2
골든 리트리버,3,1.5,35.0,F,N,갈백흑,2275.0,0,0,대,2
골든 리트리버,3,1.5,35.5,M,N,금색,2307.5,1,0,대,2
골든 리트리버,3,1.5,40.0,M,Y,갈/흰,2600.0,1,1,대,2
골든 리트리버,2,1.5,30.0,M,N,갈,1950.0,1,0,대,2
골든 리트리버,2,1.5,30.0,F,N,갈색,1950.0,0,0,대,2
